Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44188.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240595.0,414672.0,583363.0,611211.0,619847.0,841376.0,1083898.0,1356487.0,1607790.0,1837081.0,1866588.0,1871054.0,2136968.0,2357030.0,2545138.0,2700428.0,2842607.0,2852246.0,2853410.0,2961539.0,3055776.0,3141894.0,3227836.0,3305955.0,3315929.0,3316284.0,3453409.0,3612327.0,3770163.0,3914852.0,4051137.0,4060781.0,4061846.0,4198445.0,4337435.0,4473187.0,4644613.0,4795817.0,4820113.0,4822859.0,4980560.0,5146873.0,5297671.0,5445638.0,5581450.0,5604594.0,5607440.0,5751352.0,5898272.0,6051079.0,6207548.0,6373454.0,6386317.0,6387286.0,6538039.0,6671293.0,6797819.0,6932131.0,6933978.0,6935853.0,6936509.0,7016006.0,7108527.0,7202865.0,7279110.0,7349449.0,7360541.0,7361628.0,7439249.0,7513665.0,7592395.0,7653951.0,7711736.0,7719555.0,7720414.0,7764086.0,7803012.0,7833986.0,7890114.0,7929761.0,7935461.0,7935809.0,7978607.0,8017341.0,8060599.0,8091254.0,8141780.0,8142828.0,8143614.0,8219361.0,8300175.0,8381448.0,8462755.0,8546167.0,8563441.0,8564398.0,8667413.0,8774456.0,8878881.0,8975370.0,9078071.0,9079165.0,9079430.0,9203653.0,9338628.0,9462093.0,9582096.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44330.0,52665.0,55546.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56707.0,69119.0,223167.0,388977.0,550527.0,574653.0,581547.0,795529.0,1033010.0,1298470.0,1543962.0,1767055.0,1793185.0,1797019.0,2069419.0,2312859.0,2528862.0,2714921.0,2869664.0,2880647.0,2881822.0,3003746.0,3094263.0,3159021.0,3214213.0,3265129.0,3267872.0,3268293.0,3383752.0,3528308.0,3681443.0,3849871.0,3855040.0,3856382.0,3856841.0,4061524.0,4207973.0,4346193.0,4508808.0,4656744.0,4671561.0,4672918.0,4831502.0,4991259.0,5140643.0,5284534.0,5417116.0,5431446.0,5433198.0,5581548.0,5728293.0,5873088.0,6016200.0,6159218.0,6171077.0,6171762.0,6324542.0,6455999.0,6580733.0,6704682.0,6741346.0,6742546.0,6743204.0,6818482.0,6906384.0,6999296.0,7075360.0,7138663.0,7146779.0,7147221.0,7217047.0,7301497.0,7379222.0,7439093.0,7494658.0,7495060.0,7495228.0,7541799.0,7588730.0,7629260.0,7689742.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43505.0,43807.0,43823.0,43823.0,44115.0,44375.0,44706.0,45070.0,45491.0,45592.0,45592.0,46069.0,46538.0,46922.0,47332.0,47651.0,47686.0,47686.0,48114.0,48574.0,49057.0,49427.0,49806.0,49887.0,49889.0,50355.0,50963.0,51620.0,52234.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12334.0,12367.0,12374.0,13953.0,15420.0,16844.0,18438.0,19742.0,19811.0,19811.0,20709.0,21616.0,22081.0,22496.0,22811.0,22811.0,22811.0,23358.0,23949.0,24763.0,25540.0,25546.0,25546.0,25546.0,26299.0,26942.0,27482.0,28008.0,28534.0,28540.0,28540.0,29368.0,30282.0,31107.0,31754.0,32336.0,32340.0,32340.0,32893.0,33584.0,34124.0,34654.0,35193.0,35206.0,35207.0,35837.0,36372.0,36923.0,37533.0,37722.0,37722.0,37722.0,38061.0,38475.0,38873.0,39191.0,39451.0,39463.0,39463.0,39779.0,40171.0,40518.0,40756.0,40949.0,40958.0,40961.0,41350.0,41765.0,42028.0,42379.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73108.0,76676.0,79902.0,82249.0,84795.0,84795.0,84795.0,88969.0,93728.0,98468.0,102833.0,106579.0,106586.0,106586.0,110874.0,116065.0,120685.0,126408.0,131610.0,131730.0,131730.0,136779.0,142262.0,148246.0,153435.0,158437.0,158799.0,158843.0,164759.0,170825.0,176447.0,181696.0,186910.0,187295.0,187481.0,192995.0,198083.0,203023.0,207728.0,208021.0,208477.0,208672.0,211821.0,215294.0,219095.0,222157.0,224710.0,225223.0,225367.0,228648.0,231747.0,234814.0,237426.0,239951.0,240934.0,241068.0,242527.0,243518.0,244385.0,245965.0,247079.0,247623.0,247648.0,248603.0,249512.0,250409.0,251115.0,252503.0,252536.0,252572.0,255408.0,258773.0,261958.0,265117.0,267982.0,269211.0,269465.0,273336.0,277204.0,280797.0,284220.0,287901.0,288175.0,288255.0,292868.0,298254.0,302966.0,307418.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83716.0,83719.0,83739.0,87313.0,91718.0,96103.0,101104.0,101136.0,101142.0,101148.0,107372.0,112564.0,117283.0,121286.0,127084.0,127290.0,127304.0,132747.0,137862.0,143230.0,148277.0,152751.0,153472.0,153526.0,159626.0,165045.0,170195.0,175245.0,180027.0,180578.0,180740.0,185824.0,189506.0,193590.0,198610.0,200482.0,200641.0,200771.0,203986.0,207528.0,211497.0,214474.0,217028.0,217581.0,217702.0,220505.0,223766.0,226679.0,228847.0,231183.0,231276.0,231385.0,233299.0,235022.0,236372.0,238218.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44935.0,46142.0,47155.0,47983.0,48991.0,49057.0,49059.0,50189.0,51209.0,52439.0,54083.0,55420.0,55520.0,55520.0,56787.0,58449.0,59983.0,62131.0,63227.0,63291.0,63291.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74258.0,75422.0,75508.0,75650.0,75651.0,76622.0,78010.0,78937.0,79873.0,80132.0,80133.0,80133.0,81057.0,81978.0,82989.0,83712.0,84410.0,84441.0,84441.0,85186.0,85941.0,86622.0,87600.0,88005.0,88066.0,88066.0,88672.0,89426.0,90011.0,90435.0,90878.0,90882.0,90882.0,91749.0,92562.0,93693.0,94631.0,95429.0,95510.0,95510.0,96669.0,97963.0,99119.0,100157.0,101256.0,101311.0,101317.0,102563.0,103975.0,105371.0,106801.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2090.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7002.0,9230.0,9488.0,9514.0,11809.0,14319.0,17140.0,19883.0,22719.0,22813.0,22813.0,25753.0,28583.0,31266.0,33743.0,35879.0,35924.0,35924.0,38033.0,40134.0,41346.0,42151.0,42914.0,42920.0,42920.0,43802.0,44837.0,45665.0,46540.0,46546.0,46549.0,46550.0,48107.0,49395.0,50627.0,52155.0,53245.0,53297.0,53297.0,54073.0,55805.0,57499.0,59327.0,60241.0,60293.0,60295.0,60943.0,62882.0,64388.0,65107.0,66545.0,66563.0,66566.0,68155.0,69799.0,71104.0,72170.0,72555.0,72555.0,72556.0,73463.0,74563.0,75430.0,75614.0,75827.0,75835.0,75835.0,76995.0,78194.0,79041.0,79546.0,80141.0,80157.0,80160.0,81076.0,82037.0,82778.0,83441.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65974.0,68028.0,70052.0,70156.0,70156.0,72487.0,74796.0,77003.0,79154.0,80873.0,80874.0,80886.0,83350.0,85898.0,88366.0,90627.0,93042.0,93042.0,93042.0,95224.0,97282.0,99015.0,100676.0,100676.0,100676.0,100676.0,102275.0,103791.0,105542.0,106732.0,108239.0,108370.0,108370.0,108786.0,110310.0,111703.0,112824.0,113845.0,113845.0,113845.0,114953.0,116319.0,117225.0,118275.0,119187.0,119187.0,119187.0,119978.0,121096.0,122187.0,123033.0,124118.0,124118.0,124118.0,125587.0,127112.0,128421.0,129746.0,131139.0,131328.0,131328.0,132859.0,134628.0,136211.0,137559.0,139170.0,139194.0,139194.0,140857.0,142753.0,144608.0,146255.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14626.0,19091.0,19514.0,19515.0,22979.0,25405.0,27625.0,29701.0,32137.0,32505.0,32505.0,34944.0,37668.0,40530.0,42361.0,43594.0,43618.0,43623.0,45296.0,46982.0,48350.0,50245.0,51571.0,51572.0,51572.0,52638.0,53896.0,55336.0,56833.0,56834.0,56834.0,56834.0,59452.0,61498.0,63274.0,65190.0,66759.0,66765.0,66765.0,68696.0,71282.0,73478.0,75659.0,77461.0,77467.0,77467.0,79509.0,81968.0,84229.0,86424.0,88186.0,88190.0,88190.0,89505.0,91717.0,93935.0,95731.0,96514.0,96514.0,96514.0,97724.0,99163.0,100890.0,102023.0,102995.0,103059.0,103059.0,103916.0,105558.0,106863.0,107904.0,108587.0,108587.0,108587.0,109679.0,111028.0,112075.0,113171.0
