Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24838.0,44193.0,53496.0,56556.0,56968.0,56968.0,56968.0,56985.0,57006.0,57007.0,57007.0,57007.0,57008.0,57008.0,57008.0,70189.0,240554.0,414580.0,583264.0,611113.0,619747.0,841218.0,1083685.0,1356107.0,1607458.0,1836699.0,1866218.0,1870684.0,2136548.0,2356571.0,2544613.0,2699871.0,2841990.0,2851629.0,2852791.0,2960905.0,3055115.0,3141215.0,3227142.0,3305394.0,3315372.0,3315727.0,3452819.0,3611688.0,3769478.0,3914154.0,4050359.0,4060006.0,4061070.0,4197614.0,4336565.0,4472303.0,4643689.0,4794860.0,4819152.0,4821900.0,4979588.0,5145879.0,5296665.0,5444607.0,5580393.0,5603538.0,5606381.0,5750284.0,5897191.0,6049967.0,6206374.0,6372247.0,6385137.0,6386106.0,6536831.0,6670037.0,6796549.0,6930845.0,6932693.0,6934569.0,6935226.0,7014696.0,7107196.0,7201537.0,7277771.0,7348125.0,7359219.0,7360306.0,7437913.0,7512332.0,7591047.0,7652606.0,7710396.0,7718216.0,7719076.0,7762763.0,7801748.0,7832748.0,7888946.0,7928681.0,7934389.0,7934740.0,7977621.0,8016449.0,8059811.0,8090524.0,8141135.0,8142199.0,8142996.0,8218833.0,8299715.0,8381068.0,8462478.0,8546277.0,8563576.0,8564536.0,8667664.0,8774832.0,8879409.0,8976245.0,9079157.0,9080199.0,9080464.0,9204865.0,9340436.0,9465145.0,9591832.0,9599547.0,9625965.0,9629653.0,9805027.0,9994047.0,10174098.0,10340273.0,10485076.0,10526528.0,10535628.0,10690939.0,10829515.0,10937946.0,10993042.0,11035019.0,11049677.0,11051647.0,11105114.0,11164716.0,11240604.0,11336447.0,11416513.0,11439170.0,11440590.0,11545095.0,11629694.0,11734617.0,11804844.0,11864054.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44340.0,52678.0,55562.0,55772.0,55805.0,55805.0,55805.0,55816.0,55816.0,55817.0,55817.0,55817.0,55817.0,55839.0,55879.0,56052.0,56196.0,56314.0,56318.0,56318.0,56726.0,69140.0,223192.0,388990.0,550550.0,574678.0,581572.0,795549.0,1033033.0,1298532.0,1544119.0,1767186.0,1793342.0,1797177.0,2069569.0,2313128.0,2529129.0,2715222.0,2869942.0,2880926.0,2882102.0,3004033.0,3094575.0,3159346.0,3214543.0,3265626.0,3268374.0,3268797.0,3384264.0,3528835.0,3681973.0,3850424.0,3855603.0,3856948.0,3857409.0,4062136.0,4208658.0,4346921.0,4509577.0,4657549.0,4672376.0,4673731.0,4832378.0,4992263.0,5141781.0,5285726.0,5418347.0,5432684.0,5434439.0,5582873.0,5729697.0,5874543.0,6017729.0,6160833.0,6172706.0,6173394.0,6326216.0,6457717.0,6582633.0,6706629.0,6743371.0,6744571.0,6745231.0,6820599.0,6908569.0,7001555.0,7077653.0,7141021.0,7149148.0,7149591.0,7219482.0,7304030.0,7381837.0,7441799.0,7497461.0,7497864.0,7498034.0,7544700.0,7591994.0,7632926.0,7696000.0,7697348.0,7703601.0,7704187.0,7765016.0,7821469.0,7869593.0,7905627.0,7946207.0,7951953.0,7952919.0,8012287.0,8083502.0,8155079.0,8223435.0,8291615.0,8304586.0,8305801.0,8405552.0,8509505.0,8609414.0,8702688.0,8796492.0,8805849.0,8806438.0,8918205.0,9039497.0,9155210.0,9262886.0,9303900.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10437.0,33734.0,73276.0,107564.0,117466.0,119256.0,146699.0,166757.0,183430.0,196544.0,200591.0,200983.0,201032.0,205114.0,208779.0,212665.0,215639.0,217863.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46554.0,46938.0,47350.0,47670.0,47705.0,47705.0,48135.0,48595.0,49078.0,49449.0,49828.0,49909.0,49911.0,50378.0,50986.0,51649.0,52329.0,52329.0,52747.0,52747.0,54266.0,55793.0,57056.0,58055.0,59261.0,59590.0,59590.0,60821.0,61806.0,62539.0,62974.0,63239.0,63277.0,63311.0,63651.0,64108.0,64647.0,65269.0,65616.0,65668.0,65712.0,65960.0,66142.0,66313.0,66493.0,66625.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42433.0,42434.0,42481.0,42481.0,42886.0,43238.0,43687.0,44014.0,44509.0,44561.0,44561.0,45064.0,45558.0,45931.0,46366.0,46659.0,46691.0,46704.0,47119.0,47694.0,48142.0,48542.0,48910.0,48982.0,48992.0,49430.0,49945.0,50542.0,51099.0,51373.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3425.0,3579.0,3729.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186931.0,187316.0,187502.0,193017.0,198105.0,203048.0,207754.0,208047.0,208503.0,208698.0,211847.0,215320.0,219121.0,222183.0,224736.0,225249.0,225393.0,228676.0,231777.0,234845.0,237457.0,239982.0,240966.0,241100.0,242560.0,243552.0,244419.0,246003.0,247119.0,247663.0,247688.0,248642.0,249555.0,250452.0,251161.0,252551.0,252584.0,252620.0,255457.0,258824.0,262011.0,265171.0,268037.0,269268.0,269522.0,273396.0,277264.0,280860.0,284283.0,287966.0,288240.0,288320.0,292938.0,298328.0,303042.0,307568.0,308089.0,309118.0,309322.0,316384.0,324191.0,330034.0,336541.0,342392.0,342641.0,342770.0,349223.0,351656.0,353575.0,356143.0,359173.0,359710.0,359730.0,362765.0,366190.0,370539.0,374875.0,378425.0,379685.0,379708.0,383562.0,387135.0,391389.0,394459.0,397128.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67421.0,72056.0,72209.0,72214.0,75781.0,78318.0,80382.0,82138.0,83726.0,83729.0,83749.0,87325.0,91730.0,96116.0,101119.0,101151.0,101157.0,101163.0,107387.0,112580.0,117299.0,121302.0,127105.0,127311.0,127325.0,132768.0,137886.0,143255.0,148310.0,152786.0,153507.0,153562.0,159666.0,165087.0,170239.0,175291.0,180078.0,180629.0,180791.0,185876.0,189559.0,193646.0,198670.0,200544.0,200703.0,200834.0,204051.0,207597.0,211569.0,214551.0,217106.0,217661.0,217782.0,220587.0,223851.0,226765.0,228934.0,231273.0,231366.0,231475.0,233390.0,235113.0,236465.0,238355.0,238490.0,238785.0,238818.0,240634.0,242298.0,243366.0,244427.0,245837.0,245876.0,245907.0,248092.0,250443.0,252991.0,255393.0,257500.0,257856.0,257904.0,261649.0,265308.0,268746.0,272052.0,275397.0,276026.0,276128.0,280415.0,284991.0,289530.0,293611.0,295523.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12406.0,14957.0,17977.0,20734.0,23617.0,23733.0,23733.0,26383.0,28464.0,30627.0,32758.0,34822.0,34877.0,34877.0,36869.0,38780.0,40104.0,41246.0,43298.0,43494.0,43494.0,44976.0,46184.0,47197.0,48026.0,49031.0,49097.0,49099.0,50229.0,51249.0,52479.0,54121.0,55458.0,55558.0,55558.0,56825.0,58488.0,60022.0,62176.0,63271.0,63335.0,63335.0,64498.0,65800.0,67229.0,68722.0,70258.0,70382.0,70382.0,71739.0,73118.0,74328.0,75492.0,75578.0,75720.0,75721.0,76691.0,78082.0,79009.0,79945.0,80204.0,80205.0,80205.0,81130.0,82050.0,83053.0,83775.0,84473.0,84504.0,84504.0,85249.0,86005.0,86689.0,87670.0,88078.0,88138.0,88138.0,88747.0,89501.0,90127.0,90553.0,90997.0,91002.0,91002.0,91886.0,92699.0,93840.0,94780.0,95624.0,95707.0,95707.0,96902.0,98196.0,99390.0,100621.0,101721.0,101781.0,101787.0,103035.0,104452.0,105897.0,107423.0,107579.0,108373.0,108373.0,110394.0,112819.0,114877.0,117134.0,118953.0,119367.0,119368.0,121428.0,123348.0,123838.0,123845.0,123864.0,123867.0,123867.0,124049.0,125457.0,127163.0,129164.0,130871.0,131440.0,131445.0,133162.0,134755.0,136323.0,137530.0,138596.0
